last_name,first_name,player_id,year,b_total_pa,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,slg_percent,on_base_percent,on_base_plus_slg,b_catcher_interf,b_hit_by_pitch,b_out_fly,b_out_ground,b_out_line_drive,b_out_popup,
Hamilton,Billy,571740,2021,135,15,8,3,2,47,4,.378,.237,.615,0,0,16,22,8,10,
Haniger,Mitch,571745,2021,691,93,23,2,39,169,54,.485,.318,.804,0,9,83,149,31,36,
Hernandez,Enrique,571771,2021,585,69,35,3,20,110,61,.449,.337,.786,0,9,105,103,32,36,
Holt,Brock,571788,2021,260,33,13,1,2,49,23,.298,.281,.579,0,1,33,76,18,11,
Lamb,Jake,571875,2021,170,17,4,0,7,51,22,.368,.306,.674,0,2,17,31,8,11,
Muncy,Max,571970,2021,592,60,26,2,36,120,83,.527,.368,.895,0,11,81,126,26,20,
Myers,Wil,571976,2021,500,70,24,2,17,141,54,.434,.334,.768,0,0,58,101,14,19,
Naquin,Tyler,571980,2021,454,66,24,2,19,106,35,.477,.333,.809,0,5,51,106,23,17,
Owings,Chris,572008,2021,50,6,4,3,1,15,7,.628,.420,1.048,0,0,5,8,0,1,
Piscotty,Stephen,572039,2021,188,25,8,0,5,48,13,.353,.282,.635,0,2,27,40,7,13,
Pollock,AJ,572041,2021,422,65,27,1,21,80,30,.536,.355,.892,0,6,59,86,30,17,
Seager,Kyle,572122,2021,670,63,29,1,35,161,59,.438,.285,.723,0,4,119,117,39,40,
Taylor,MichaelA.,572191,2021,528,89,16,1,12,144,33,.356,.295,.652,0,5,75,113,26,13,
VoitIII,Luke,572228,2021,241,32,7,1,11,74,21,.437,.328,.764,0,7,28,48,6,6,
